id,title,description,category
722953,Cause hardware buttons to illuminate when button is pressed,Cause hardware buttons to illuminate when button is pressed,UI Bug
418623,makle thunderbird (qute) use toolkit's tree.css,makle thunderbird (qute) use toolkit's tree.css,UI Bug
349647,Regression Bug from 0821 build: Close button on active tab jumps up by a pixel or two,Regression Bug from 0821 build: Close button on active tab jumps up by a pixel or two,UI Bug
160918,Nullpointer exception in Win > Pref > General > Keys,Nullpointer exception in Win > Pref > General > Keys,Crash/Error
401612,About Dialog will not open (nsIDOMJSWindow.openDialog exception),About Dialog will not open (nsIDOMJSWindow.openDialog exception),Crash/Error
450050,"""nsIDOMInstallTriggerGlobal.h(76) : warning C4309: 'initializing' : truncation of constant value""","""nsIDOMInstallTriggerGlobal.h(76) : warning C4309: 'initializing' : truncation of constant value""",UI Bug
330961,Settings service and co. needs revamp,Settings service and co. needs revamp,Configuration Error
577850,A gradient applied to SVG Text element should render as if the objectBoundingBox spans the entire Text content,A gradient applied to SVG Text element should render as if the objectBoundingBox spans the entire Text content,UI Bug
126887,[Model Sync] Content caching timing issue,[Model Sync] Content caching timing issue,Data Inconsistency
744901,Store the page size in FrameMetrics in CSS pixels in addition to device pixels.,Store the page size in FrameMetrics in CSS pixels in addition to device pixels.,UI Bug
432466,"Keyboard event synthesis tests need to return ""keyboard layout not available""","Keyboard event synthesis tests need to return ""keyboard layout not available""",UI Bug
374161,"Error: uncaught exception: [Exception... ""ServiceManager::GetService returned failure code:"" nsresult: ""0x80570016 (NS_ERROR_XPC_GS_RETURNED_FAILURE)"" location: ""JS frame :: chrome://browser/content/places/controller.js :: :: line 1530"" dat","Error: uncaught exception: [Exception... ""ServiceManager::GetService returned failure code:"" nsresult: ""0x80570016 (NS_ERROR_XPC_GS_RETURNED_FAILURE)"" location: ""JS frame :: chrome://browser/content/places/controller.js :: :: line 1530"" dat",Crash/Error
278774,global book.css should render and with same font and size,global book.css should render and with same font and size,UI Bug
593124,"JM+TM: Intermittent browser_details.js | Disable button should be hidden and Pending message should be correct - Got Test add-on 7 will be enabled after you restart Minefield., expected Test add-on 8 will be disabled after you restart Minefield.","JM+TM: Intermittent browser_details.js | Disable button should be hidden and Pending message should be correct - Got Test add-on 7 will be enabled after you restart Minefield., expected Test add-on 8 will be disabled after you restart Minefield.",UI Bug
135686,[Model Sync] team content descriptor enablement API,[Model Sync] team content descriptor enablement API,Data Inconsistency
190438,Assign Working Sets dialog forgets settings after adding and moving new working set,Assign Working Sets dialog forgets settings after adding and moving new working set,Configuration Error
119,Payment gateway timeout,Payment gateway timeout observed in production-like testing. Issue impacts normal workflow and requires investigation.,Integration Failure
155650,"Accessibility: Tab can't access to the ""Forward to..."" Split button on Preferences window","Accessibility: Tab can't access to the ""Forward to..."" Split button on Preferences window",UI Bug
527619,Intermittent timeout in browser_bug441778.js,Intermittent timeout in browser_bug441778.js,Performance Issue
198430,Font not set correctly in GC supplied to events of virtual table/tree,Font not set correctly in GC supplied to events of virtual table/tree,UI Bug
358296,Options > Choose Download Folder > Close using top left hand menu crashes firefox.,Options > Choose Download Folder > Close using top left hand menu crashes firefox.,Crash/Error
464918,Console clearing test for private browsing should not use a timeout,Console clearing test for private browsing should not use a timeout,Performance Issue
326778,document.getBoxObjectFor({}) crashes,document.getBoxObjectFor({}) crashes,Crash/Error
216137,[Linux] DateTime does not render correctly values < 10.,[Linux] DateTime does not render correctly values < 10.,UI Bug
511924,"Need option / preference to switch off changing default values for new ""reply"" dropdown button (to make ""reply (to sender)"" the default instead of ""reply all"" for many recipients)","Need option / preference to switch off changing default values for new ""reply"" dropdown button (to make ""reply (to sender)"" the default instead of ""reply all"" for many recipients)",UI Bug
779968,Changing the transform on an element is slow,Changing the transform on an element is slow,Performance Issue
363528,[reflow branch] scrollbar overlap option text in Modern theme,[reflow branch] scrollbar overlap option text in Modern theme,UI Bug
771879,minor code formatting tweaks in layout,minor code formatting tweaks in layout,UI Bug
785662,"Create a media cache directory per ""privilege domain""","Create a media cache directory per ""privilege domain""",Security Vulnerability
583872,MozQWidget crashes if touch is received after it's nsWindow destroyed,MozQWidget crashes if touch is received after it's nsWindow destroyed,Crash/Error
495543,"""ASSERTION: non-opaque color property cannot be stringified"" with svg:svg root in .xhtml document","""ASSERTION: non-opaque color property cannot be stringified"" with svg:svg root in .xhtml document",UI Bug
776389,"Function.toString() fails , Error: [Exception... ""The URI is malformed"" nsresult: ""0x804b000a (NS_ERROR_MALFORMED_URI)""...","Function.toString() fails , Error: [Exception... ""The URI is malformed"" nsresult: ""0x804b000a (NS_ERROR_MALFORMED_URI)""...",Crash/Error
154337,Quickfix should suggest final for initialized static variable in inner class,Quickfix should suggest final for initialized static variable in inner class,Configuration Error
338368,Uninitialized in nsTextFrame::PaintAsciiText (layout/generic/nsTextFrame.cpp),Uninitialized in nsTextFrame::PaintAsciiText (layout/generic/nsTextFrame.cpp),UI Bug
578340,Sync jschar and PRUnichar on Windows,Sync jschar and PRUnichar on Windows,Data Inconsistency
685084,unused variable 'lm' in mozilla::widget::PuppetWidget::DispatchPaintEvent(),unused variable 'lm' in mozilla::widget::PuppetWidget::DispatchPaintEvent(),Configuration Error
379957,Sync load service doesn't deal with an auto-closing stream,Sync load service doesn't deal with an auto-closing stream,Data Inconsistency
514833,[mac] Full Screen button displays incorrectly in 'Show: Text' mode,[mac] Full Screen button displays incorrectly in 'Show: Text' mode,UI Bug
330452,about:blank transfer state inconsistency,about:blank transfer state inconsistency,Data Inconsistency
696253,Add support for parsing/computing properties for CSS Flexbox,Add support for parsing/computing properties for CSS Flexbox,UI Bug
533714,Using width/height on a menu/panel affects normal layout,Using width/height on a menu/panel affects normal layout,UI Bug
520070,Testcase for Bug 520001 crashes on trunk/1.9.2,Testcase for Bug 520001 crashes on trunk/1.9.2,Crash/Error
588558,js_DumpStackFrame(cx) crashes (fatal JS_ASSERT) when cx->fp is null,js_DumpStackFrame(cx) crashes (fatal JS_ASSERT) when cx->fp is null,Crash/Error
638481,"The ""to"" button looks off","The ""to"" button looks off",UI Bug
818621,Variable length lookbehind,Variable length lookbehind,Configuration Error
49,Button overlaps label,Button overlaps label observed in production-like testing. Issue impacts normal workflow and requires investigation.,UI Bug
176,Misconfigured database endpoint,Misconfigured database endpoint observed in production-like testing. Issue impacts normal workflow and requires investigation.,Configuration Error
124017,NPE after deleting config from LCD,NPE after deleting config from LCD,Configuration Error
403154,Search field in the bookmarks organizer should have a search button inside the field,Search field in the bookmarks organizer should have a search button inside the field,UI Bug
193776,[Debug/MI] Error displaying array variable when switching stack frame,[Debug/MI] Error displaying array variable when switching stack frame,Configuration Error
526953,"rename nsPluginInstanceOwner's ""mOwner"" member variable to something less confusing","rename nsPluginInstanceOwner's ""mOwner"" member variable to something less confusing",Configuration Error
135168,"""Show All"" is broken in sync view","""Show All"" is broken in sync view",Data Inconsistency
334575,protection should have a config flag to enable/disable building,protection should have a config flag to enable/disable building,Configuration Error
572599,content/xbl/crashtests/336960-1.html crashes sometimes with bug 130078,content/xbl/crashtests/336960-1.html crashes sometimes with bug 130078,Crash/Error
681480,Conditional forward button on gnomestripe performs animation when switching tabs,Conditional forward button on gnomestripe performs animation when switching tabs,UI Bug
539856,IPDL: Synchronous (sync or rpc) __delete__ handlers use |mId| of deleted actor,IPDL: Synchronous (sync or rpc) __delete__ handlers use |mId| of deleted actor,Data Inconsistency
507393,Manipulating tbody dom elements is very slow when the tbody is visible.,Manipulating tbody dom elements is very slow when the tbody is visible.,Performance Issue
331545,Renaming a linked resources that uses a path variable makes the link absolute,Renaming a linked resources that uses a path variable makes the link absolute,Configuration Error
343531,Invalid performance results (negative CPU time),Invalid performance results (negative CPU time),Data Inconsistency
476678,Add new security token to bug xml output,Add new security token to bug xml output,Security Vulnerability
640917,svg foreignobject css position fixed no display,svg foreignobject css position fixed no display,UI Bug
485764,Implement Windows System Proxy Settings Service,Implement Windows System Proxy Settings Service,Configuration Error
236795,SWT Exception creates endless cycle,SWT Exception creates endless cycle,Crash/Error
785320,[b2g-bluetooth] Crash after renaming device in Settings/Bluetooth,[b2g-bluetooth] Crash after renaming device in Settings/Bluetooth,Configuration Error
388523,"###!!! ASSERTION: null request in stream complete handler: 'request', file nsScriptLoader.cpp, line 791","###!!! ASSERTION: null request in stream complete handler: 'request', file nsScriptLoader.cpp, line 791",Feature Request
458092,Crashes with BadIdChoice X errors,Crashes with BadIdChoice X errors,Crash/Error
567670,"Security Advisory for Bugzilla 3.7.1, 3.6.1, 3.4.7 and 3.2.7","Security Advisory for Bugzilla 3.7.1, 3.6.1, 3.4.7 and 3.2.7",Security Vulnerability
722723,"Migration tool sets proxy to ""None"" when migrating from IE, instead of ""Use System Proxy Settings""","Migration tool sets proxy to ""None"" when migrating from IE, instead of ""Use System Proxy Settings""",Configuration Error
230026,ParameterizedTypeBinding crashes the reconciler.,ParameterizedTypeBinding crashes the reconciler.,Crash/Error
165478,gdb crashes when invoked,gdb crashes when invoked,Crash/Error
397434,Phishing update request is malformed,Phishing update request is malformed,Feature Request
343360,FileWriter's security check doesn't work with flat chrome,FileWriter's security check doesn't work with flat chrome,Security Vulnerability
249868,add timestamp to pre and post process targets of compile of the master feature,add timestamp to pre and post process targets of compile of the master feature,Feature Request
225263,Opening a fast view crashes Eclipse,Opening a fast view crashes Eclipse,Crash/Error
519116,There are no percentages in font-weight,There are no percentages in font-weight,UI Bug
474456,Mozilla Firefox XUL Linked Clones Double Free Vulnerability (ZDI-CAN-423),Mozilla Firefox XUL Linked Clones Double Free Vulnerability (ZDI-CAN-423),Security Vulnerability
144527,[Wizards] WizardDialog should have the maxmize button,[Wizards] WizardDialog should have the maxmize button,UI Bug
406271,JavaScript Regular Expression Extremely Slow,JavaScript Regular Expression Extremely Slow,Performance Issue
133200,C-build console font preference requires a restart,C-build console font preference requires a restart,UI Bug
749931,"""Migration to a clean Firefox profile"" feature doesn't suggest browser history migration","""Migration to a clean Firefox profile"" feature doesn't suggest browser history migration",Feature Request
297258,Dialog font not honoured completely in the 'Local History' preference page,Dialog font not honoured completely in the 'Local History' preference page,UI Bug
610040,OOM abort under nsBufferedStream::Init,OOM abort under nsBufferedStream::Init,Crash/Error
405159,"SourceForge's ""Select mirror"" feature doesn't work, loading screen never goes away","SourceForge's ""Select mirror"" feature doesn't work, loading screen never goes away",Feature Request
427672,U+FE00 VARIATION SELECTOR-1 causes the base character to render as a hex box,U+FE00 VARIATION SELECTOR-1 causes the base character to render as a hex box,UI Bug
259295,Background color not set Label with image,Background color not set Label with image,UI Bug
416725,font selection for numerals affected by characters of different language elsewhere on the page,font selection for numerals affected by characters of different language elsewhere on the page,UI Bug
243924,Debugger crashes on Step out.,Debugger crashes on Step out.,Crash/Error
76,Session token exposed,Session token exposed observed in production-like testing. Issue impacts normal workflow and requires investigation.,Security Vulnerability
375196,crashes [@ nsVoidArray::RemoveElementsAt][@ nsTextControlFrame::FireOnInpu],crashes [@ nsVoidArray::RemoveElementsAt][@ nsTextControlFrame::FireOnInpu],Crash/Error
465808,crashes [@ js_GetLocalNameArray] inside decompilation triggered by JSD,crashes [@ js_GetLocalNameArray] inside decompilation triggered by JSD,Crash/Error
207851,scannerConfigBuildInfo replicated in each Config,scannerConfigBuildInfo replicated in each Config,Configuration Error
762302,[css3-animations] unprefix CSS Animation properties and values,[css3-animations] unprefix CSS Animation properties and values,UI Bug
125814,"a new project's ""error parser settings"" are stored to the preferences instead of to the project","a new project's ""error parser settings"" are stored to the preferences instead of to the project",Configuration Error
356088,Speed up font search for non-BMP characters,Speed up font search for non-BMP characters,UI Bug
378577,"""Use Bookmark"" button needs three dots after the text","""Use Bookmark"" button needs three dots after the text",UI Bug
691215,I believe document.replaceChild (in bookmarklet) crashes FF 7.x,I believe document.replaceChild (in bookmarklet) crashes FF 7.x,Crash/Error
414665,site identity button gets blue border when depressed,site identity button gets blue border when depressed,UI Bug
514783,Fast mousewheel scrolling goes much further than slow scrolling,Fast mousewheel scrolling goes much further than slow scrolling,Performance Issue
187321,"TVT33:TCT202: DE : CDT, Button truncation on Add Directory Dialog","TVT33:TCT202: DE : CDT, Button truncation on Add Directory Dialog",UI Bug
235854,Tree background color property is inconsistent,Tree background color property is inconsistent,UI Bug
716334,"[Mac OS] Slow Titlebar/Toolbar rendering when, when creating a new window and 'always show the title bar' is disabled","[Mac OS] Slow Titlebar/Toolbar rendering when, when creating a new window and 'always show the title bar' is disabled",Performance Issue
733186,Use MOZ_OVERRIDE more aggressively in layout,Use MOZ_OVERRIDE more aggressively in layout,UI Bug
185353,Closing projects is very slow,Closing projects is very slow,Performance Issue
255082,Eclipse Update Manager API does not install a feature if license tag is missing from feature.xml,Eclipse Update Manager API does not install a feature if license tag is missing from feature.xml,Feature Request
577557,"PostgreSQL cannot test injection with integer columns, for xt/search.t","PostgreSQL cannot test injection with integer columns, for xt/search.t",Security Vulnerability
382823,Version/config bumps for Tb 2004,Version/config bumps for Tb 2004,Configuration Error
549143,dual-stack layout,dual-stack layout,UI Bug
745233,test_finalizer.js crashes on Linux64 PGO builds [@ js::ctypes::CDataFinalizer::CallFinalizer],test_finalizer.js crashes on Linux64 PGO builds [@ js::ctypes::CDataFinalizer::CallFinalizer],Crash/Error
581592,REFTEST TEST-UNEXPECTED-FAIL | file:///Users/cltbld/talos-slave/mozilla-central-leopard-debug-u-reftest/build/reftest/tests/layout/reftests/canvas/size-change-1.html | assertion count 2 is more than expected 0 assertions,REFTEST TEST-UNEXPECTED-FAIL | file:///Users/cltbld/talos-slave/mozilla-central-leopard-debug-u-reftest/build/reftest/tests/layout/reftests/canvas/size-change-1.html | assertion count 2 is more than expected 0 assertions,UI Bug
549306,addressbook background color doesn't change in windows' accessibility mode,addressbook background color doesn't change in windows' accessibility mode,UI Bug
593357,New attached Stop/Go/Refresh button breaks resizing the location and search bar,New attached Stop/Go/Refresh button breaks resizing the location and search bar,UI Bug
128662,SWT Browser crashes if URL contains special characters,SWT Browser crashes if URL contains special characters,Crash/Error
739972,Stop using GetChildAt svg/layout,Stop using GetChildAt svg/layout,UI Bug
549272,mozilla.widget.render-mode should be initialized in all.js,mozilla.widget.render-mode should be initialized in all.js,UI Bug
571752,Add History and Bookmarks to the Firefox button menu,Add History and Bookmarks to the Firefox button menu,UI Bug
581029,Invalid values in TT font lead to crash [@CGSScanconverterRenderMask],Invalid values in TT font lead to crash [@CGSScanconverterRenderMask],UI Bug
412373,String assignment 100 times too slow,String assignment 100 times too slow,Performance Issue
366093,Unable to send Mails via Gmail SMTP because of wrong SMTP Settings,Unable to send Mails via Gmail SMTP because of wrong SMTP Settings,Configuration Error
536303,Loading any page with flash with dom.ipc.plugins.enabled = true crashes on Windows 2000,Loading any page with flash with dom.ipc.plugins.enabled = true crashes on Windows 2000,Crash/Error
292893,"Shell default button may be disposed, causing IllegalArgumentException","Shell default button may be disposed, causing IllegalArgumentException",UI Bug
357825,Occasionally open button does not enable on File Open/Save focus,Occasionally open button does not enable on File Open/Save focus,UI Bug
438571,Arabic Font Problem!!!!,Arabic Font Problem!!!!,UI Bug
234718,JarPackageFragmentRoot.computeChildren(..) is slow,JarPackageFragmentRoot.computeChildren(..) is slow,Performance Issue
137782,Index out of bounds exception in clear(),Index out of bounds exception in clear(),Crash/Error
371591,[meta] sync IA2 and Gecko API's,[meta] sync IA2 and Gecko API's,Data Inconsistency
723680,Fix failing test layout/reftests/transform-3d/preserve3d-1a.html,Fix failing test layout/reftests/transform-3d/preserve3d-1a.html,UI Bug
328842,Access to FTP site crashes Firefox,Access to FTP site crashes Firefox,Crash/Error
571735,warning: unused variable ‘formType’ in nsGenericHTMLFormElement::UpdateEditableFormControlState(),warning: unused variable ‘formType’ in nsGenericHTMLFormElement::UpdateEditableFormControlState(),Configuration Error
595689,Malformed font leads to crash [@OTL::GCommon::GetLookups],Malformed font leads to crash [@OTL::GCommon::GetLookups],UI Bug
687861,Horizontal scrolling in scratchpad with very long lines is slow,Horizontal scrolling in scratchpad with very long lines is slow,Performance Issue
251460,Button visual should match Button bounds,Button visual should match Button bounds,UI Bug
548193,"Content Security Policy XML reports have escaping bugs, should probably use JSON anyway","Content Security Policy XML reports have escaping bugs, should probably use JSON anyway",Security Vulnerability
718290,Crash [@ ClearAllTextRunReferences] with font inflation,Crash [@ ClearAllTextRunReferences] with font inflation,UI Bug
682615,OOM crash in BasicPlanarYCbCrImage::SetData,OOM crash in BasicPlanarYCbCrImage::SetData,Crash/Error
606693,Intermittent failure in layout/reftests/svg/as-image/img-widthAndHeight-meet-1.html,Intermittent failure in layout/reftests/svg/as-image/img-widthAndHeight-meet-1.html,UI Bug
409553,missing tabbrowser images (e.g. tab-arrow-start-bkgnd-enabled.png as all tabs button background),missing tabbrowser images (e.g. tab-arrow-start-bkgnd-enabled.png as all tabs button background),UI Bug
579297,warning: unused variable 'rv' in nsXBLDocGlobalObject::GetPrincipal(),warning: unused variable 'rv' in nsXBLDocGlobalObject::GetPrincipal(),Configuration Error
422172,"""Automatic proxy configuration URL"" reload button does not work","""Automatic proxy configuration URL"" reload button does not work",UI Bug
347467,Abuse of gray in icons after Pinstripe visual refresh,Abuse of gray in icons after Pinstripe visual refresh,UI Bug
600458,Intermittent failure in test_replay_metadata.html | check referer is sent with media request,Intermittent failure in test_replay_metadata.html | check referer is sent with media request,Feature Request
532378,A cross site URL-encoded XMLhttp POST request generates a preflighted (OPTIONS) request,A cross site URL-encoded XMLhttp POST request generates a preflighted (OPTIONS) request,Feature Request
320967,[Test] Tests for security related bugs,[Test] Tests for security related bugs,Security Vulnerability
408369,spell check underline color is hardcoded,spell check underline color is hardcoded,UI Bug
349055,[linux only] Hover state of Go button highlight extends outside of Go button,[linux only] Hover state of Go button highlight extends outside of Go button,UI Bug
111,Payment gateway timeout,Payment gateway timeout observed in production-like testing. Issue impacts normal workflow and requires investigation.,Integration Failure
185576,Using @link to refer to a type variable is flagged as a problem,Using @link to refer to a type variable is flagged as a problem,Configuration Error
622829,Very slow scrolling and high cpu use on this page in Minefield,Very slow scrolling and high cpu use on this page in Minefield,Performance Issue
586389,"###!!! ABORT: PresArena: poison overwritten: '*reinterpret_cast(p) == ARENA_POISON', file /usr/moz/1.9.2/layout/base/nsPresArena.cpp, line 331","###!!! ABORT: PresArena: poison overwritten: '*reinterpret_cast(p) == ARENA_POISON', file /usr/moz/1.9.2/layout/base/nsPresArena.cpp, line 331",UI Bug
509540,"Need a method that checks whether a string is a valid CSS property name, in SVG","Need a method that checks whether a string is a valid CSS property name, in SVG",UI Bug
364300,"Monospace font isn't, with ATSUI, breaking ""cols"" attribute of","Monospace font isn't, with ATSUI, breaking ""cols"" attribute of",UI Bug
470145,Add capability to desktop search integration to switch states on the fly,Add capability to desktop search integration to switch states on the fly,Integration Failure
562844,add macro that returns the alignment requirements of a type,add macro that returns the alignment requirements of a type,UI Bug
165846,SWT Exception when trying to apply patch,SWT Exception when trying to apply patch,Crash/Error
650469,"""ABORT: should already have refreshed style rule"" with css-animations","""ABORT: should already have refreshed style rule"" with css-animations",UI Bug
279711,PLUGINS_ROOT redirects slow infocenter,PLUGINS_ROOT redirects slow infocenter,Performance Issue
236775,examples soruce feature name is bogus,examples soruce feature name is bogus,Feature Request
348362,Don't focus a tab when mousing-down on its close-button,Don't focus a tab when mousing-down on its close-button,UI Bug
270947,Eclipse crashes on creation of a new C++ project,Eclipse crashes on creation of a new C++ project,Crash/Error
747220,[layout view] update the UI,[layout view] update the UI,UI Bug
440230,Firefox CSSValue Array Memory Corruption Vulnerability,Firefox CSSValue Array Memory Corruption Vulnerability,Security Vulnerability
593606,It's possible to bypass the security check in XPCCrossOriginWrapper::CanAccessWrapper,It's possible to bypass the security check in XPCCrossOriginWrapper::CanAccessWrapper,Security Vulnerability
166641,uninitialized variable not reported in if (false) block,uninitialized variable not reported in if (false) block,Configuration Error
533148,OOM trace-test takes minutes to complete,OOM trace-test takes minutes to complete,Crash/Error
737612,Range.insertNode() on a detached text node throws nonstandard exception type,Range.insertNode() on a detached text node throws nonstandard exception type,Crash/Error
792604,Permission Settings followup fixes,Permission Settings followup fixes,Configuration Error
581083,REFTEST TEST-UNEXPECTED-FAIL | file:///c:/talos-slave/mozilla-central-win7-opt-u-reftest-d2d/build/reftest/tests/layout/reftests/svg/dynamic-small-object-scaled-up-02.svg |,REFTEST TEST-UNEXPECTED-FAIL | file:///c:/talos-slave/mozilla-central-win7-opt-u-reftest-d2d/build/reftest/tests/layout/reftests/svg/dynamic-small-object-scaled-up-02.svg |,UI Bug
652363,Dragging selection into location bar doesn't set GO button immediately,Dragging selection into location bar doesn't set GO button immediately,UI Bug
214359,[launching] clean up launch config filtering,[launching] clean up launch config filtering,Configuration Error
394075,Resource Directory Traversal Vulnerability,Resource Directory Traversal Vulnerability,Security Vulnerability
511361,Display correct (NLS) name of (DBCS) font,Display correct (NLS) name of (DBCS) font,UI Bug
542116,Cursor inside empty input file/password ignores font-size,Cursor inside empty input file/password ignores font-size,UI Bug
322317,"After AJAX causes re-render, firefox drops information in web site.","After AJAX causes re-render, firefox drops information in web site.",UI Bug
305207,"[Sync View][Apply Patch] Where is ""Remove from View"" action?","[Sync View][Apply Patch] Where is ""Remove from View"" action?",Data Inconsistency
733614,CSS 'height' property on a multi-column block is not respected,CSS 'height' property on a multi-column block is not respected,UI Bug
173425,[clean up] CleanUpSaveParticipantPreferenceConfiguration should show workspace settings as defaults,[clean up] CleanUpSaveParticipantPreferenceConfiguration should show workspace settings as defaults,Configuration Error
589585,"Intermittent failure in test_classifier.html | Should not load bad javascript - got ""loaded malware javascript!"", expected ""untouched"", followed by bad css","Intermittent failure in test_classifier.html | Should not load bad javascript - got ""loaded malware javascript!"", expected ""untouched"", followed by bad css",UI Bug
132860,launch config resource filter assumes resource mapping is project,launch config resource filter assumes resource mapping is project,Configuration Error
322376,Canvas doesn't render paths with nodes far out of the viewport,Canvas doesn't render paths with nodes far out of the viewport,UI Bug
746148,When unable to find dictionary try also LANG variable to determine dictionary,When unable to find dictionary try also LANG variable to determine dictionary,Configuration Error
383131,lost of color marks in the receipt window,lost of color marks in the receipt window,UI Bug
191673,[QuickAccess] Tooltips only partially overlap the hovered item,[QuickAccess] Tooltips only partially overlap the hovered item,UI Bug
322461,FF 1.5 doesn't apply CSS stylesheets in document after XSLT transformation,FF 1.5 doesn't apply CSS stylesheets in document after XSLT transformation,UI Bug
559315,[HTML5] nsContentSink::Init call is slow,[HTML5] nsContentSink::Init call is slow,Performance Issue
547418,menu-button's right side border is a black line and does not match other buttons,menu-button's right side border is a black line and does not match other buttons,UI Bug
312596,Sync view does not update error decorator of resources anymore,Sync view does not update error decorator of resources anymore,Data Inconsistency
225265,Cannot invoke a contextual menu from a perspective button.,Cannot invoke a contextual menu from a perspective button.,UI Bug
164940,Disabled state of Run/Profile/Debug button is not handled properly sometimes,Disabled state of Run/Profile/Debug button is not handled properly sometimes,UI Bug
305260,Variables do not properly reflect background preference color changes.,Variables do not properly reflect background preference color changes.,UI Bug
496635,"Typo in places.js, 'Event.button' shoud be 'aEvent.button'","Typo in places.js, 'Event.button' shoud be 'aEvent.button'",UI Bug
684963,"Set targetSdkVersion to Android API level 11, to remove menu button from system bar","Set targetSdkVersion to Android API level 11, to remove menu button from system bar",UI Bug
384343,Page does not render correctly (addons.mozilla.org),Page does not render correctly (addons.mozilla.org),UI Bug
358831,[history sidebar panel] right mouse button click should not expand / collapse item,[history sidebar panel] right mouse button click should not expand / collapse item,UI Bug
391817,be more specific when destroying content pref sink to avoid exception,be more specific when destroying content pref sink to avoid exception,Crash/Error
571062,"disable slow JS test, except on tinderbox","disable slow JS test, except on tinderbox",Performance Issue
730967,MAPLE: Don't recompute checkerboard color every frame,MAPLE: Don't recompute checkerboard color every frame,UI Bug
536379,crashes using firebug / DOM Inspector [@ nsCSSCompressedDataBlock::MapRuleInfoInto(nsRuleData*) const],crashes using firebug / DOM Inspector [@ nsCSSCompressedDataBlock::MapRuleInfoInto(nsRuleData*) const],Crash/Error
529900,"64-bit - lots of assertions, crashes","64-bit - lots of assertions, crashes",Crash/Error
794739,Check Now button to make Thunderbird the default mail/news/rss application does nothing,Check Now button to make Thunderbird the default mail/news/rss application does nothing,UI Bug
814164,ice_unittests randomly crashes in nr_socket_recvfrom() (perhaps Linux opt only),ice_unittests randomly crashes in nr_socket_recvfrom() (perhaps Linux opt only),Crash/Error
127331,[Memory View] Changing color setting has no effect until refresh,[Memory View] Changing color setting has no effect until refresh,UI Bug
769103,Get SVG masks working for HTML elements under CSS transforms,Get SVG masks working for HTML elements under CSS transforms,UI Bug
322351,mozISpellCheckingEngine.check crashes if word is misspelled,mozISpellCheckingEngine.check crashes if word is misspelled,Crash/Error
818033,[toolbox] Implement Shorlander's visual design,[toolbox] Implement Shorlander's visual design,UI Bug
745254,Security UI needs to stop assuming that bytes transferred == bytes rendered,Security UI needs to stop assuming that bytes transferred == bytes rendered,Security Vulnerability
478377,Support specifying direction for :-moz-tree-cell pseudo class through CSS,Support specifying direction for :-moz-tree-cell pseudo class through CSS,UI Bug
574952,Thunderbird 3.1 account list slow to scroll,Thunderbird 3.1 account list slow to scroll,Performance Issue
762221,"Enable font hinting in ""app"" content processes","Enable font hinting in ""app"" content processes",UI Bug
404637,Excessive color fringing in 3.0b1 (gecko 1.9b1) vs. 2.0,Excessive color fringing in 3.0b1 (gecko 1.9b1) vs. 2.0,UI Bug
305161,Dynamic Path Variable ui.ide API review,Dynamic Path Variable ui.ide API review,Configuration Error
278653,change platform feature to include org.eclipse.help feature,change platform feature to include org.eclipse.help feature,Feature Request
611237,"Intermitent failure in content/xul/templates/tests/chrome/test_tmpl_containervariablechanged.xul | container variable changed (followed by Error is: incorrect child node count of vbox 0 expected 3 - got """", expected ""Same"")","Intermitent failure in content/xul/templates/tests/chrome/test_tmpl_containervariablechanged.xul | container variable changed (followed by Error is: incorrect child node count of vbox 0 expected 3 - got """", expected ""Same"")",Configuration Error
424963,moz-border-radius borders don't join at corners under specific CSS conditions,moz-border-radius borders don't join at corners under specific CSS conditions,UI Bug
362798,[Mac] Ctrl+click on Home button loads home page in addition to showing context menu,[Mac] Ctrl+click on Home button loads home page in addition to showing context menu,UI Bug
732941,OOM Crash [@ nsCOMArray::operator[]] due to unhandled alloc failure in nsTypedSelection::NotifySelectionListeners,OOM Crash [@ nsCOMArray::operator[]] due to unhandled alloc failure in nsTypedSelection::NotifySelectionListeners,Crash/Error
126132,Minor misprint (color -> font),Minor misprint (color -> font),UI Bug
363318,load simple feed in Firefox feedreader is extremely slow to loading the same feed as live bookmark,load simple feed in Firefox feedreader is extremely slow to loading the same feed as live bookmark,Performance Issue
300225,[Sync View][Apply Patch] Compare editor for an element from Patch Contents model opens empty,[Sync View][Apply Patch] Compare editor for an element from Patch Contents model opens empty,Data Inconsistency
489828,Clicking Star button will not open Edit bookmark dialog,Clicking Star button will not open Edit bookmark dialog,UI Bug
118,Timezone mismatch in reports,Timezone mismatch in reports observed in production-like testing. Issue impacts normal workflow and requires investigation.,Data Inconsistency
495455,Visual glitches on hover with @font-face font,Visual glitches on hover with @font-face font,UI Bug
474201,background-color not reset when visiting new page,background-color not reset when visiting new page,UI Bug
146834,Exception on ManagedBuildManager.saveBuildInfo(),Exception on ManagedBuildManager.saveBuildInfo(),Crash/Error
134305,Incorrect layout for Cleanup dialog,Incorrect layout for Cleanup dialog,UI Bug
312867,"Exception when trying to ""Extract Method""","Exception when trying to ""Extract Method""",Crash/Error
365613,[regression] all font-weight are displayed as 'bold' except for the 'normal' keyword and '400',[regression] all font-weight are displayed as 'bold' except for the 'normal' keyword and '400',UI Bug
575962,top window accelerated ENV variable,top window accelerated ENV variable,Configuration Error
587267,Display the Firefox button when in TabView,Display the Firefox button when in TabView,UI Bug
